Wavelength,Intensity
6.025149999999999636e+03,5.000000000000000000e+00
6.032127000000000407e+03,7.000000000000000000e+01
6.043222999999999956e+03,3.500000000000000000e+01
6.052722999999999956e+03,1.000000000000000000e+01
6.059372000000000298e+03,2.000000000000000000e+01
6.098802999999999884e+03,7.000000000000000000e+00
6.105635000000000218e+03,1.000000000000000000e+01
6.145440999999999804e+03,1.000000000000000000e+01
6.170173999999999978e+03,7.000000000000000000e+00
6.173095999999999549e+03,1.000000000000000000e+01
6.212502999999999702e+03,1.000000000000000000e+01
6.215938000000000102e+03,5.000000000000000000e+00
6.296872000000000298e+03,7.000000000000000000e+00
6.307657000000000153e+03,1.500000000000000000e+01
6.369574999999999818e+03,7.000000000000000000e+00
6.384716999999999643e+03,2.000000000000000000e+01
6.416306999999999789e+03,7.000000000000000000e+01
6.538112000000000080e+03,1.500000000000000000e+01
6.604853000000000065e+03,1.500000000000000000e+01
6.660676000000000386e+03,5.000000000000000000e+00
6.664051000000000386e+03,5.000000000000000000e+00
6.677282000000000153e+03,1.000000000000000000e+02
6.752833999999999833e+03,1.500000000000000000e+02
6.756162999999999556e+03,5.000000000000000000e+00
6.766612000000000080e+03,1.500000000000000000e+01
6.871288999999999760e+03,1.500000000000000000e+02
6.879582000000000335e+03,5.000000000000000000e+00
6.888173999999999978e+03,1.000000000000000000e+01
6.937663999999999760e+03,5.000000000000000000e+01
6.951478000000000065e+03,7.000000000000000000e+00
6.960250000000000000e+03,7.000000000000000000e+00
6.965430999999999585e+03,1.000000000000000000e+04
