Wavelength,Intensity
6.003170000000000073e+03,1.000000000000000000e+00
6.019493000000000393e+03,4.000000000000000000e+00
6.027251299999999901e+03,7.000000000000000000e+00
6.028220000000000255e+03,1.000000000000000000e+00
6.044467999999999847e+03,7.000000000000000000e+00
6.046897700000000441e+03,1.000000000000000000e+01
6.049074999999999818e+03,7.000000000000000000e+00
6.069960000000000036e+03,0.000000000000000000e+00
6.077430999999999585e+03,6.000000000000000000e+00
6.083875000000000000e+03,2.000000000000000000e+00
6.084506999999999607e+03,2.000000000000000000e+00
6.101919200000000274e+03,4.000000000000000000e+00
6.102765000000000327e+03,1.000000000000000000e+00
6.103539700000000266e+03,2.600000000000000000e+01
6.111742000000000189e+03,2.000000000000000000e+00
6.114923200000000179e+03,5.370000000000000000e+02
6.118724000000000160e+03,4.000000000000000000e+00
6.120093600000000151e+03,6.000000000000000000e+00
6.123360899999999674e+03,2.000000000000000000e+01
6.124570999999999913e+03,3.000000000000000000e+00
6.138655099999999948e+03,2.800000000000000000e+01
6.142614999999999782e+03,2.000000000000000000e+00
6.146460000000000036e+03,0.000000000000000000e+00
6.166783499999999549e+03,4.000000000000000000e+00
6.167627300000000105e+03,4.000000000000000000e+00
6.172277500000000146e+03,4.070000000000000000e+02
6.174377999999999702e+03,3.000000000000000000e+00
6.183024000000000342e+03,2.000000000000000000e+00
6.187135000000000218e+03,9.000000000000000000e+00
6.192301000000000386e+03,2.000000000000000000e+00
6.201100199999999859e+03,9.000000000000000000e+00
6.206462999999999738e+03,1.000000000000000000e+00
6.208935000000000400e+03,2.000000000000000000e+00
6.210420000000000073e+03,1.000000000000000000e+00
6.232891999999999825e+03,2.000000000000000000e+00
6.239712000000000444e+03,8.000000000000000000e+00
6.243119899999999689e+03,8.900000000000000000e+01
6.249975000000000364e+03,1.000000000000000000e+00
6.277425000000000182e+03,2.000000000000000000e+00
6.281119999999999891e+03,0.000000000000000000e+00
6.282823000000000320e+03,1.000000000000000000e+00
6.295445999999999913e+03,2.000000000000000000e+00
6.315399999999999636e+03,1.000000000000000000e+00
6.323734999999999673e+03,3.000000000000000000e+00
6.324415100000000166e+03,1.200000000000000000e+01
6.328474000000000160e+03,1.000000000000000000e+00
6.332498999999999796e+03,5.000000000000000000e+00
6.332832000000000335e+03,1.000000000000000000e+00
6.333146999999999935e+03,6.000000000000000000e+00
6.337130000000000109e+03,0.000000000000000000e+00
6.339896999999999935e+03,3.000000000000000000e+00
6.348227200000000266e+03,7.000000000000000000e+00
6.348600999999999658e+03,2.000000000000000000e+00
6.357024999999999636e+03,7.000000000000000000e+00
6.357677599999999984e+03,8.000000000000000000e+00
6.365439999999999600e+03,1.000000000000000000e+00
6.369127999999999702e+03,2.000000000000000000e+00
6.373189999999999600e+03,0.000000000000000000e+00
6.375944999999999709e+03,3.000000000000000000e+00
6.382695999999999913e+03,3.000000000000000000e+00
6.383096700000000055e+03,5.000000000000000000e+00
6.388341000000000349e+03,5.000000000000000000e+00
6.391117000000000189e+03,2.000000000000000000e+00
6.394729000000000269e+03,7.000000000000000000e+00
6.396608400000000074e+03,1.100000000000000000e+01
6.397184000000000196e+03,2.000000000000000000e+00
6.399208499999999731e+03,1.800000000000000000e+01
6.403012300000000323e+03,1.100000000000000000e+01
6.408908999999999651e+03,7.000000000000000000e+00
6.417417000000000371e+03,1.000000000000000000e+00
6.418369599999999991e+03,1.000000000000000000e+01
6.422894000000000233e+03,7.000000000000000000e+00
6.424144000000000233e+03,1.000000000000000000e+00
6.431555999999999585e+03,6.000000000000000000e+00
6.433682999999999993e+03,1.000000000000000000e+00
6.437601300000000265e+03,1.100000000000000000e+01
6.441898100000000341e+03,1.200000000000000000e+01
6.443859099999999671e+03,1.200000000000000000e+01
6.456488999999999578e+03,3.000000000000000000e+00
6.458403000000000247e+03,2.000000000000000000e+00
6.468046999999999571e+03,8.000000000000000000e+00
6.472427999999999884e+03,6.000000000000000000e+00
6.475311999999999898e+03,4.000000000000000000e+00
6.480085000000000036e+03,2.000000000000000000e+00
6.483082500000000437e+03,1.200000000000000000e+02
6.489850000000000364e+03,0.000000000000000000e+00
6.500215100000000348e+03,5.000000000000000000e+00
6.501360800000000381e+03,6.000000000000000000e+00
6.502157000000000153e+03,3.000000000000000000e+00
6.506137999999999920e+03,3.000000000000000000e+00
6.508173999999999978e+03,6.000000000000000000e+00
6.509088999999999942e+03,6.000000000000000000e+00
6.532926999999999680e+03,2.000000000000000000e+00
6.538045100000000275e+03,2.000000000000000000e+01
6.540408999999999651e+03,2.000000000000000000e+00
6.547350000000000364e+03,3.000000000000000000e+00
6.551497999999999593e+03,3.000000000000000000e+00
6.557724000000000160e+03,2.000000000000000000e+00
6.611195999999999913e+03,2.000000000000000000e+00
6.614349000000000160e+03,6.000000000000000000e+00
6.620965000000000146e+03,8.000000000000000000e+00
6.623149999999999636e+03,0.000000000000000000e+00
6.638220199999999750e+03,1.510000000000000000e+02
6.639740300000000389e+03,9.300000000000000000e+01
6.643697299999999814e+03,2.690000000000000000e+02
6.653582999999999629e+03,1.000000000000000000e+00
6.666358699999999772e+03,1.170000000000000000e+02
6.684292400000000271e+03,2.040000000000000000e+02
6.696296000000000276e+03,4.000000000000000000e+00
6.756552200000000084e+03,3.200000000000000000e+01
6.799287999999999556e+03,3.000000000000000000e+00
6.808531200000000354e+03,1.500000000000000000e+01
6.818371000000000095e+03,8.000000000000000000e+00
6.832909999999999854e+03,0.000000000000000000e+00
6.839583999999999833e+03,4.000000000000000000e+00
6.846539999999999964e+03,1.000000000000000000e+00
6.861268900000000031e+03,1.120000000000000000e+02
6.863534700000000157e+03,3.500000000000000000e+01
6.886611799999999675e+03,2.600000000000000000e+01
6.900880000000000109e+03,2.000000000000000000e+00
6.911760000000000218e+03,0.000000000000000000e+00
6.985707999999999629e+03,1.000000000000000000e+00
6.990122000000000298e+03,5.000000000000000000e+00
