Wavelength,Intensity
6.000409999999999854e+03,2.300000000000000000e+01
6.000537999999999556e+03,3.500000000000000000e+01
6.000554000000000087e+03,5.800000000000000000e+01
6.000762130000000070e+03,6.200000000000000000e+02
6.000866299999999683e+03,1.200000000000000000e+02
6.000942100000000210e+03,1.600000000000000000e+02
6.001203190000000177e+03,1.900000000000000000e+03
6.001731999999999971e+03,1.900000000000000000e+02
6.002195600000000013e+03,5.900000000000000000e+01
6.002493000000000393e+03,2.500000000000000000e+01
6.002869899999999689e+03,5.100000000000000000e+01
6.005164880000000267e+03,1.800000000000000000e+03
6.005210699999999633e+03,1.200000000000000000e+02
6.005600000000000364e+03,1.200000000000000000e+02
6.005811499999999796e+03,4.600000000000000000e+01
6.005921000000000276e+03,1.100000000000000000e+01
6.006083999999999833e+03,2.000000000000000000e+01
6.006293999999999869e+03,4.600000000000000000e+01
6.007072119999999813e+03,4.500000000000000000e+03
6.008051999999999680e+03,5.800000000000000000e+01
6.008439300000000003e+03,4.500000000000000000e+01
6.010019100000000435e+03,8.300000000000000000e+01
6.010160450000000310e+03,3.200000000000000000e+03
6.010255100000000311e+03,1.600000000000000000e+02
6.010599400000000060e+03,1.000000000000000000e+02
6.011203000000000429e+03,1.800000000000000000e+02
6.011345000000000255e+03,2.000000000000000000e+02
6.011533800000000156e+03,4.800000000000000000e+02
6.012000000000000000e+03,1.800000000000000000e+01
6.012332000000000335e+03,2.700000000000000000e+01
6.013442000000000007e+03,9.400000000000000000e+01
6.014056300000000192e+03,8.500000000000000000e+01
6.014306999999999789e+03,5.900000000000000000e+02
6.014578000000000429e+03,1.200000000000000000e+01
6.016358900000000176e+03,2.100000000000000000e+02
6.017246000000000095e+03,1.600000000000000000e+01
6.017861799999999675e+03,1.200000000000000000e+02
6.019411000000000058e+03,1.100000000000000000e+01
6.019638600000000224e+03,1.100000000000000000e+02
6.019819000000000415e+03,6.700000000000000000e+01
6.020271499999999833e+03,1.200000000000000000e+02
6.020497999999999593e+03,7.900000000000000000e+01
6.021035630000000310e+03,5.500000000000000000e+03
6.022640000000000327e+03,9.000000000000000000e+00
6.022697400000000016e+03,4.800000000000000000e+01
6.023224199999999655e+03,4.400000000000000000e+02
6.024082000000000335e+03,1.100000000000000000e+01
6.024835000000000036e+03,2.300000000000000000e+01
6.025048999999999978e+03,1.100000000000000000e+01
6.025777900000000045e+03,2.400000000000000000e+02
6.026044899999999870e+03,2.200000000000000000e+02
6.028270199999999932e+03,1.500000000000000000e+02
6.028631000000000313e+03,3.500000000000000000e+01
6.029225800000000163e+03,4.500000000000000000e+02
6.029649999999999636e+03,2.500000000000000000e+02
6.030189000000000306e+03,5.800000000000000000e+01
6.030444789999999557e+03,1.500000000000000000e+03
6.032370600000000195e+03,2.900000000000000000e+02
6.032555000000000291e+03,2.300000000000000000e+01
6.032872299999999996e+03,5.000000000000000000e+02
6.033413199999999961e+03,4.300000000000000000e+02
6.033517899999999827e+03,1.100000000000000000e+02
6.034212999999999738e+03,1.400000000000000000e+01
6.034338999999999942e+03,1.600000000000000000e+01
6.034844000000000051e+03,2.000000000000000000e+01
6.035192250000000058e+03,8.300000000000000000e+02
6.035364999999999782e+03,1.100000000000000000e+01
6.035875000000000000e+03,2.300000000000000000e+01
6.036762200000000121e+03,2.000000000000000000e+02
6.037697379999999612e+03,7.500000000000000000e+03
6.037942000000000007e+03,3.500000000000000000e+01
6.038680379999999786e+03,1.600000000000000000e+03
6.039226899999999659e+03,5.100000000000000000e+01
6.039663999999999760e+03,9.000000000000000000e+00
6.040872000000000298e+03,2.700000000000000000e+01
6.041090000000000146e+03,3.600000000000000000e+01
6.042399999999999636e+03,1.600000000000000000e+01
6.042589200000000346e+03,4.600000000000000000e+02
6.043046800000000076e+03,2.100000000000000000e+02
6.043676000000000386e+03,2.300000000000000000e+01
6.044554000000000087e+03,9.300000000000000000e+01
6.045246000000000095e+03,1.100000000000000000e+01
6.046643000000000029e+03,1.200000000000000000e+02
6.047158999999999651e+03,1.100000000000000000e+01
6.047266999999999825e+03,2.500000000000000000e+01
6.047798200000000179e+03,6.200000000000000000e+01
6.047956000000000131e+03,1.700000000000000000e+01
6.049050970000000234e+03,5.600000000000000000e+03
6.050457000000000335e+03,3.400000000000000000e+01
6.050545000000000073e+03,1.100000000000000000e+01
6.050981509999999616e+03,6.400000000000000000e+02
6.052445300000000316e+03,1.200000000000000000e+02
6.053380839999999807e+03,2.100000000000000000e+03
6.054350000000000364e+03,1.100000000000000000e+01
6.055036000000000058e+03,9.200000000000000000e+01
6.055593399999999747e+03,3.800000000000000000e+02
6.056880000000000109e+03,3.200000000000000000e+01
6.057171000000000276e+03,1.700000000000000000e+01
6.058439000000000306e+03,3.000000000000000000e+01
6.059136000000000422e+03,1.200000000000000000e+02
6.060957999999999629e+03,2.600000000000000000e+01
