Wavelength,Intensity
6.002366399999999885e+03,5.000000000000000000e+01
6.007591000000000349e+03,5.200000000000000000e+01
6.009113000000000284e+03,6.500000000000000000e+01
6.011349000000000160e+03,3.300000000000000000e+02
6.015421779999999671e+03,6.100000000000000000e+02
6.015769000000000233e+03,1.300000000000000000e+01
6.018993400000000292e+03,2.200000000000000000e+02
6.019215000000000146e+03,1.300000000000000000e+01
6.021411299999999756e+03,2.500000000000000000e+02
6.022149000000000342e+03,5.300000000000000000e+01
6.022222999999999956e+03,1.100000000000000000e+02
6.024934000000000196e+03,1.100000000000000000e+02
6.025615999999999985e+03,5.300000000000000000e+01
6.026238000000000284e+03,1.900000000000000000e+01
6.027480999999999767e+03,6.600000000000000000e+01
6.027952000000000226e+03,2.600000000000000000e+01
6.028863000000000284e+03,1.300000000000000000e+02
6.030807999999999993e+03,1.300000000000000000e+01
6.031911000000000058e+03,1.300000000000000000e+02
6.032317200000000412e+03,2.300000000000000000e+02
6.032431999999999789e+03,0.000000000000000000e+00
6.032664999999999964e+03,0.000000000000000000e+00
6.033189000000000306e+03,2.300000000000000000e+01
6.034139000000000124e+03,1.300000000000000000e+01
6.034541000000000167e+03,1.600000000000000000e+02
6.038307999999999993e+03,4.000000000000000000e+01
6.040119999999999891e+03,4.000000000000000000e+01
6.041430000000000291e+03,1.200000000000000000e+01
6.041627999999999702e+03,6.700000000000000000e+01
6.042961000000000240e+03,1.700000000000000000e+02
6.044432799999999588e+03,8.400000000000000000e+02
6.045466999999999643e+03,2.600000000000000000e+01
6.048173999999999978e+03,4.000000000000000000e+01
6.049772100000000137e+03,1.400000000000000000e+02
6.049925000000000182e+03,1.100000000000000000e+02
6.054534999999999854e+03,2.700000000000000000e+01
6.055159999999999854e+03,4.000000000000000000e+01
6.058181300000000192e+03,1.900000000000000000e+02
6.058273000000000138e+03,4.000000000000000000e+01
6.058612299999999777e+03,1.000000000000000000e+02
6.059534999999999854e+03,2.700000000000000000e+01
6.060229999999999563e+03,4.000000000000000000e+01
6.061485999999999876e+03,4.000000000000000000e+01
6.062430999999999585e+03,4.000000000000000000e+01
6.062613999999999578e+03,2.000000000000000000e+02
6.063068000000000211e+03,1.100000000000000000e+02
6.063354999999999563e+03,2.700000000000000000e+01
6.066329999999999927e+03,5.400000000000000000e+01
6.066497299999999996e+03,1.900000000000000000e+02
6.067080299999999625e+03,2.000000000000000000e+02
6.068042999999999665e+03,2.700000000000000000e+01
6.070033999999999651e+03,5.400000000000000000e+01
6.070891999999999825e+03,4.000000000000000000e+01
6.071414999999999964e+03,2.700000000000000000e+01
6.073103509999999915e+03,7.500000000000000000e+02
6.073710000000000036e+03,4.000000000000000000e+01
6.076195999999999913e+03,1.300000000000000000e+01
6.076639000000000124e+03,4.000000000000000000e+01
6.077366600000000290e+03,1.200000000000000000e+02
6.078587999999999738e+03,6.800000000000000000e+01
6.078971700000000055e+03,1.100000000000000000e+02
6.085255400000000009e+03,4.500000000000000000e+02
6.085430000000000291e+03,2.700000000000000000e+01
6.085997999999999593e+03,5.400000000000000000e+01
6.087262200000000121e+03,1.000000000000000000e+03
6.087386999999999716e+03,4.100000000000000000e+01
6.087576000000000022e+03,0.000000000000000000e+00
6.090111899999999878e+03,9.000000000000000000e+01
6.090815999999999804e+03,1.100000000000000000e+02
6.097194499999999607e+03,1.300000000000000000e+02
6.099083289999999579e+03,8.300000000000000000e+02
6.099804000000000087e+03,4.100000000000000000e+01
6.100578000000000429e+03,1.300000000000000000e+01
6.103641700000000128e+03,2.700000000000000000e+02
6.104582300000000032e+03,1.000000000000000000e+03
6.106613000000000284e+03,2.600000000000000000e+01
6.108411000000000058e+03,1.400000000000000000e+02
6.108921999999999571e+03,4.100000000000000000e+01
6.112837599999999838e+03,1.300000000000000000e+03
6.113963499999999840e+03,5.400000000000000000e+01
6.120556620000000294e+03,6.100000000000000000e+02
6.122337000000000444e+03,0.000000000000000000e+00
6.122747699999999895e+03,4.200000000000000000e+01
6.124675000000000182e+03,1.400000000000000000e+01
6.125739599999999882e+03,2.500000000000000000e+02
6.131963600000000042e+03,9.400000000000000000e+01
6.132219000000000051e+03,2.200000000000000000e+01
6.134793999999999869e+03,2.900000000000000000e+01
6.135150999999999840e+03,1.400000000000000000e+01
6.138525999999999840e+03,0.000000000000000000e+00
6.138646499999999833e+03,3.400000000000000000e+02
6.144564999999999600e+03,2.200000000000000000e+01
6.145283300000000054e+03,2.800000000000000000e+02
